id,CAD_Number,Call Type,Date,Address,City,State,Latitude,Longitude,Zone,Responding Officer
3054,3054,Alarm,8/13/2020 18:09,5761 Hanson Crossing,Las Vegas,Nevada,36.086,-115.1471,Z3,White
3055,3055,Traffic,11/17/2022 14:11,27 Oriole Circle,Reno,Nevada,39.5224,-119.8353,Z5,Cooper
3056,3056,Traffic,10/21/2022 12:19,06943 Dahle Pass,Las Vegas,Nevada,36.2471,-115.221,Z8,Johnson
3057,3057,Violent Crime,4/17/2023 4:55,11522 Schlimgen Junction,Las Vegas,Nevada,36.2158,-115.0671,Z1,Price
3058,3058,Alarm,11/26/2020 8:29,023 Basil Center,Las Vegas,Nevada,36.173,-115.0669,Z1,Bell
3059,3059,Traffic,3/28/2021 22:41,208 Pankratz Alley,Las Vegas,Nevada,35.9977,-115.2861,Z5,Anderson
3060,3060,Traffic,7/27/2020 1:55,0 Coleman Park,Las Vegas,Nevada,36.086,-115.1471,Z1,Green
3061,3061,Property Crime,3/11/2021 12:39,38 Sunbrook Road,Reno,Nevada,39.5224,-119.8353,Z8,Miller
3062,3062,Traffic,6/4/2024 9:38,465 Corry Center,Las Vegas,Nevada,36.086,-115.1471,Z5,Lopez
3063,3063,Violent Crime,7/12/2022 17:05,239 Toban Way,Las Vegas,Nevada,36.086,-115.1471,Z2,Johnson
3064,3064,Traffic,9/23/2024 18:31,600 Dorton Parkway,Las Vegas,Nevada,35.9279,-114.9721,Z7,Walker
3065,3065,Property Crime,10/31/2019 8:32,45024 Carey Drive,Reno,Nevada,40.5412,-119.5869,Z6,Garcia
3066,3066,Traffic,12/28/2023 8:02,172 Mallard Point,Reno,Nevada,40.5412,-119.5869,Z3,Perez
3067,3067,Traffic,7/19/2021 22:40,75179 Rusk Junction,Las Vegas,Nevada,35.9977,-115.2861,Z2,Campbell
3068,3068,Traffic,8/31/2022 18:32,237 Mariners Cove Crossing,Reno,Nevada,40.5412,-119.5869,Z4,Gonzalez
3069,3069,Property Crime,4/11/2023 14:49,977 Hintze Street,Las Vegas,Nevada,35.9279,-114.9721,Z3,Robinson
3070,3070,Traffic,2/20/2021 12:02,4 Rieder Parkway,Carson City,Nevada,39.1678,-119.7764,Z4,Clark
3071,3071,Violent Crime,11/17/2021 3:23,5270 Sloan Junction,Las Vegas,Nevada,35.9279,-114.9721,Z2,Walker
3072,3072,Alarm,10/17/2024 10:49,60 Crowley Point,Las Vegas,Nevada,35.9279,-114.9721,Z1,Miller
3073,3073,Traffic,4/26/2024 9:57,6 Vahlen Road,Las Vegas,Nevada,36.086,-115.1471,Z8,Clark
3074,3074,Property Crime,7/22/2024 11:12,5 Cardinal Parkway,Las Vegas,Nevada,36.2471,-115.221,Z2,Edwards
3075,3075,Alarm,11/26/2019 14:49,4 Oneill Road,Sparks,Nevada,39.6269,-119.7081,Z6,Price
3076,3076,Traffic,3/22/2022 1:47,8 Cambridge Trail,Las Vegas,Nevada,36.2235,-115.2655,Z2,Davis
3077,3077,Property Crime,1/18/2023 13:57,21404 Oneill Road,Las Vegas,Nevada,36.0914,-115.0885,Z2,Phillips
3078,3078,Violent Crime,12/8/2020 19:10,179 Jackson Park,Reno,Nevada,39.4814,-119.8591,Z1,Turner
3079,3079,Property Crime,11/12/2019 16:47,5 Sachs Place,Las Vegas,Nevada,36.2235,-115.2655,Z4,Evans
3080,3080,Violent Crime,1/31/2020 7:25,24589 Blaine Drive,North Las Vegas,Nevada,36.2204,-115.1458,Z4,Ward
3081,3081,Alarm,12/29/2020 11:32,4 Bowman Way,Las Vegas,Nevada,35.9279,-114.9721,Z7,Richardson
3082,3082,Welfare Check,11/9/2022 11:32,446 7th Crossing,Carson City,Nevada,39.2025,-119.7526,Z1,Robinson
3083,3083,Alarm,4/9/2023 2:36,80871 Dayton Court,Las Vegas,Nevada,36.2235,-115.2655,Z7,Hill
3084,3084,Alarm,5/27/2021 7:23,74 Parkside Center,Las Vegas,Nevada,36.1378,-115.3261,Z8,Rogers
3085,3085,Traffic,4/17/2020 23:58,80674 Banding Center,Las Vegas,Nevada,36.2471,-115.221,Z1,Kelly
3086,3086,Traffic,1/25/2021 0:09,02588 Lakeland Alley,Reno,Nevada,39.5224,-119.8353,Z2,Harris
3087,3087,Property Crime,7/22/2020 13:14,06 Evergreen Way,Reno,Nevada,39.5224,-119.8353,Z4,Anderson
3088,3088,Alarm,6/28/2020 9:13,3171 Cody Court,Reno,Nevada,39.5387,-119.8225,Z1,Evans
3089,3089,Property Crime,1/11/2022 17:23,06360 Tennessee Drive,Reno,Nevada,40.5412,-119.5869,Z8,Lee
3090,3090,Violent Crime,12/17/2021 15:35,59 Westport Plaza,North Las Vegas,Nevada,36.2204,-115.1458,Z4,Williams
3091,3091,Welfare Check,4/6/2024 14:37,9 Bonner Parkway,Las Vegas,Nevada,36.1378,-115.3261,Z1,White
3092,3092,Property Crime,12/3/2023 21:00,8996 Cottonwood Drive,Reno,Nevada,39.5387,-119.8225,Z7,Cook
3093,3093,Traffic,3/22/2020 22:31,0 Mosinee Court,Las Vegas,Nevada,36.2158,-115.0671,Z6,Garcia
3094,3094,Welfare Check,2/22/2020 8:00,745 Little Fleur Avenue,Henderson,Nevada,36.0119,-115.0433,Z2,Jones
3095,3095,Traffic,10/1/2023 17:25,30 Annamark Alley,Las Vegas,Nevada,36.3265,-115.3398,Z1,Baker
3096,3096,Alarm,10/5/2019 16:52,2576 Prentice Pass,North Las Vegas,Nevada,36.2204,-115.1458,Z6,Stewart
3097,3097,Alarm,1/2/2021 2:46,35 Village Green Avenue,Las Vegas,Nevada,36.0914,-115.0885,Z6,Carter
3098,3098,Traffic,10/19/2019 12:39,194 3rd Park,Las Vegas,Nevada,36.086,-115.1471,Z6,Morris
3099,3099,Traffic,9/22/2024 7:27,9427 Old Shore Court,Las Vegas,Nevada,36.3265,-115.3398,Z8,Smith
3100,3100,Violent Crime,2/29/2020 6:09,43 Valley Edge Drive,Las Vegas,Nevada,36.2471,-115.221,Z1,Young
3101,3101,Alarm,12/7/2023 21:45,0754 Chive Circle,Carson City,Nevada,39.2025,-119.7526,Z2,Miller
3102,3102,Property Crime,8/29/2024 19:40,54866 Schmedeman Street,Las Vegas,Nevada,35.9279,-114.9721,Z7,Rogers
3103,3103,Traffic,4/4/2023 14:23,33 Kenwood Way,Reno,Nevada,39.5387,-119.8225,Z7,King
3104,3104,Alarm,3/9/2021 23:16,886 Merry Road,Reno,Nevada,39.5387,-119.8225,Z6,Carter
3105,3105,Traffic,12/25/2020 9:54,283 Meadow Vale Drive,North Las Vegas,Nevada,36.2204,-115.1458,Z1,Ward
3106,3106,Traffic,12/18/2020 8:22,42038 Superior Circle,Las Vegas,Nevada,36.086,-115.1471,Z8,White
3107,3107,Alarm,10/26/2023 5:26,2944 Dakota Crossing,North Las Vegas,Nevada,35.9279,-114.9721,Z2,Parker
3108,3108,Violent Crime,3/17/2022 1:46,003 Longview Lane,Carson City,Nevada,39.2025,-119.7526,Z1,Anderson
3109,3109,Welfare Check,6/6/2022 3:48,84225 Monterey Road,Las Vegas,Nevada,35.9279,-114.9721,Z5,James
3110,3110,Alarm,6/28/2021 12:31,1 Lillian Hill,Reno,Nevada,39.4814,-119.8591,Z5,Bennett
3111,3111,Traffic,6/12/2022 4:10,418 Riverside Lane,Henderson,Nevada,36.0384,-115.0857,Z1,Morris
3112,3112,Property Crime,3/9/2021 6:50,02 Corry Circle,Las Vegas,Nevada,36.1693,-115.2828,Z1,Bailey
3113,3113,Violent Crime,2/22/2020 15:06,81 Warner Avenue,Las Vegas,Nevada,36.1378,-115.3261,Z8,Cox
3114,3114,Traffic,2/19/2024 20:01,8443 Muir Crossing,Reno,Nevada,40.5412,-119.5869,Z8,Hernandez
3115,3115,Welfare Check,1/2/2023 2:24,51906 Northview Drive,Reno,Nevada,40.5412,-119.5869,Z8,Carter
3116,3116,Welfare Check,10/25/2020 3:51,4 Arizona Lane,North Las Vegas,Nevada,36.2204,-115.1458,Z4,Thompson
3117,3117,Alarm,9/12/2021 13:55,641 Onsgard Point,Henderson,Nevada,36.0119,-115.0433,Z1,Torres
3118,3118,Violent Crime,5/31/2023 23:01,9 Elka Hill,Henderson,Nevada,36.0384,-115.0857,Z4,Murphy
3119,3119,Traffic,2/12/2024 18:33,58 Armistice Park,Carson City,Nevada,39.2025,-119.7526,Z2,Campbell
3120,3120,Traffic,9/11/2020 13:47,4748 Sage Drive,Las Vegas,Nevada,36.2158,-115.0671,Z2,Roberts
3121,3121,Property Crime,5/27/2020 5:16,4879 Riverside Center,Las Vegas,Nevada,36.2235,-115.2655,Z5,Williams
3122,3122,Traffic,1/19/2020 17:30,2 Warrior Point,Henderson,Nevada,36.0119,-115.0433,Z7,Torres
3123,3123,Violent Crime,5/19/2021 9:05,10634 Southridge Point,Las Vegas,Nevada,36.2471,-115.221,Z8,Gonzalez
3124,3124,Traffic,3/16/2024 0:12,9 Independence Terrace,Sparks,Nevada,39.6269,-119.7081,Z6,Wilson
3125,3125,Traffic,1/22/2020 9:01,6386 Morningstar Hill,Las Vegas,Nevada,36.2471,-115.221,Z8,Mitchell
3126,3126,Traffic,6/13/2022 10:20,9 Maryland Drive,Reno,Nevada,39.4814,-119.8591,Z1,Richardson
3127,3127,Violent Crime,8/30/2022 11:52,2296 Cascade Alley,Las Vegas,Nevada,36.086,-115.1471,Z4,King
3128,3128,Alarm,7/30/2020 15:33,88 Maple Way,Las Vegas,Nevada,36.2235,-115.2655,Z1,Young
3129,3129,Traffic,4/7/2020 13:23,65 Lukken Point,Las Vegas,Nevada,36.2158,-115.0671,Z7,Wilson
3130,3130,Alarm,4/19/2023 0:10,665 Glacier Hill Terrace,Las Vegas,Nevada,36.3265,-115.3398,Z8,Ramirez
3131,3131,Welfare Check,6/27/2021 23:31,9 Elgar Terrace,Reno,Nevada,39.4814,-119.8591,Z4,Watson
3132,3132,Welfare Check,5/17/2021 5:01,0561 Hallows Plaza,Las Vegas,Nevada,36.2471,-115.221,Z3,Baker
3133,3133,Welfare Check,2/4/2021 11:08,8 Oak Way,Las Vegas,Nevada,36.0914,-115.0885,Z7,Lee
3134,3134,Property Crime,11/4/2024 6:00,333 Sage Trail,Las Vegas,Nevada,36.0914,-115.0885,Z2,Cooper
3135,3135,Property Crime,12/15/2020 6:33,11 Corry Plaza,Las Vegas,Nevada,35.9279,-114.9721,Z8,Wilson
3136,3136,Alarm,9/10/2021 15:01,38 Basil Way,Las Vegas,Nevada,35.9279,-114.9721,Z2,Taylor
3137,3137,Property Crime,11/11/2019 21:06,95696 Schmedeman Court,Las Vegas,Nevada,36.2235,-115.2655,Z7,Young
3138,3138,Property Crime,11/7/2022 14:34,631 Warner Place,Las Vegas,Nevada,36.0914,-115.0885,Z4,Nelson
3139,3139,Violent Crime,10/28/2024 13:21,06000 Talmadge Street,Las Vegas,Nevada,36.3265,-115.3398,Z2,Richardson
3140,3140,Property Crime,9/17/2023 22:20,39777 Stone Corner Court,Sparks,Nevada,39.6269,-119.7081,Z5,Watson
3141,3141,Property Crime,4/13/2024 20:41,398 Mosinee Hill,North Las Vegas,Nevada,36.2204,-115.1458,Z1,Smith
3142,3142,Traffic,7/17/2024 16:47,1 Lakewood Gardens Point,Las Vegas,Nevada,36.2471,-115.221,Z2,Torres
3143,3143,Property Crime,11/25/2024 12:53,01560 Eastwood Parkway,Las Vegas,Nevada,36.2158,-115.0671,Z1,Collins
3144,3144,Alarm,9/20/2021 18:41,03568 Anniversary Court,Carson City,Nevada,39.2025,-119.7526,Z1,Rivera
3145,3145,Property Crime,6/29/2024 0:42,22792 Gina Parkway,North Las Vegas,Nevada,35.9279,-114.9721,Z3,Lewis
3146,3146,Alarm,10/18/2022 14:20,8251 Declaration Trail,Las Vegas,Nevada,36.2158,-115.0671,Z4,Perez
3147,3147,Violent Crime,8/1/2020 13:58,7056 Algoma Street,Las Vegas,Nevada,35.9279,-114.9721,Z3,Lewis
3148,3148,Property Crime,7/27/2021 0:04,44 Lillian Parkway,Las Vegas,Nevada,36.1693,-115.2828,Z3,Perez
3149,3149,Violent Crime,1/14/2022 4:57,7195 Duke Place,Las Vegas,Nevada,36.1693,-115.2828,Z3,Reed
3150,3150,Alarm,11/29/2023 23:45,397 Melvin Center,Las Vegas,Nevada,35.9279,-114.9721,Z4,Ramirez
3151,3151,Violent Crime,12/4/2023 20:31,914 Hudson Alley,Reno,Nevada,39.5387,-119.8225,Z3,Roberts
3152,3152,Traffic,3/19/2022 8:06,43 Del Sol Plaza,Las Vegas,Nevada,36.0914,-115.0885,Z8,Sanchez
3153,3153,Traffic,7/30/2021 11:43,8 Crowley Road,Las Vegas,Nevada,36.2471,-115.221,Z7,Bell
3154,3154,Property Crime,11/17/2024 5:15,5 Del Mar Crossing,Las Vegas,Nevada,36.1693,-115.2828,Z4,King
3155,3155,Traffic,9/9/2022 12:24,948 Esch Circle,Las Vegas,Nevada,35.9279,-114.9721,Z8,Ramirez
3156,3156,Alarm,2/26/2022 3:17,551 Tony Road,Henderson,Nevada,36.0384,-115.0857,Z6,Brown
3157,3157,Alarm,9/15/2024 22:31,55 2nd Circle,Reno,Nevada,40.5412,-119.5869,Z8,Nelson
3158,3158,Alarm,9/28/2024 21:35,14946 Aberg Circle,Carson City,Nevada,39.2025,-119.7526,Z6,Jones
3159,3159,Property Crime,12/30/2021 2:29,65206 Erie Place,North Las Vegas,Nevada,35.9279,-114.9721,Z2,Collins
3160,3160,Alarm,3/11/2023 14:20,44 John Wall Plaza,Reno,Nevada,39.4814,-119.8591,Z6,Harris
3161,3161,Violent Crime,4/8/2021 19:42,09 Tomscot Court,North Las Vegas,Nevada,36.2204,-115.1458,Z6,Bailey
3162,3162,Property Crime,8/18/2021 6:03,472 Westend Street,Las Vegas,Nevada,35.9279,-114.9721,Z3,Brooks
3163,3163,Alarm,8/16/2020 14:50,75 Rockefeller Park,Las Vegas,Nevada,35.9279,-114.9721,Z5,Green
3164,3164,Traffic,1/6/2024 5:49,33595 Southridge Avenue,Las Vegas,Nevada,36.1693,-115.2828,Z4,Miller
3165,3165,Alarm,7/17/2023 13:27,22424 Kinsman Center,Las Vegas,Nevada,36.0914,-115.0885,Z2,Moore
3166,3166,Welfare Check,3/10/2024 10:40,506 Mallard Hill,Las Vegas,Nevada,35.9279,-114.9721,Z8,Jackson
3167,3167,Violent Crime,3/4/2021 11:15,64805 Bobwhite Court,Las Vegas,Nevada,35.9279,-114.9721,Z3,Gray
3168,3168,Violent Crime,12/14/2023 9:51,5 Marquette Park,Reno,Nevada,39.5387,-119.8225,Z1,Peterson
3169,3169,Violent Crime,8/16/2024 17:02,6993 Esker Pass,Reno,Nevada,39.5224,-119.8353,Z8,Martin
3170,3170,Alarm,6/26/2022 10:04,24320 Bay Avenue,Las Vegas,Nevada,35.9279,-114.9721,Z1,Bell
3171,3171,Alarm,10/31/2021 1:18,223 Artisan Street,Las Vegas,Nevada,35.9279,-114.9721,Z6,Sanders
3172,3172,Property Crime,12/10/2020 13:18,97878 Larry Way,Las Vegas,Nevada,35.9279,-114.9721,Z2,Bailey
3173,3173,Alarm,10/4/2020 20:02,2 Milwaukee Lane,Henderson,Nevada,36.0119,-115.0433,Z5,Harris
3174,3174,Property Crime,9/4/2021 15:26,42 Fisk Street,Las Vegas,Nevada,35.9279,-114.9721,Z3,Parker
3175,3175,Violent Crime,5/15/2024 8:38,06 Cardinal Avenue,Reno,Nevada,40.5412,-119.5869,Z7,Lee
3176,3176,Alarm,10/24/2020 1:07,9752 Cody Pass,Las Vegas,Nevada,36.086,-115.1471,Z3,Howard
3177,3177,Alarm,6/21/2020 8:06,835 Mcbride Way,Carson City,Nevada,39.2025,-119.7526,Z8,Scott
3178,3178,Traffic,11/17/2020 11:06,7 Weeping Birch Point,Las Vegas,Nevada,36.1693,-115.2828,Z2,Rodriguez
3179,3179,Alarm,7/21/2023 13:43,75928 Mendota Road,Henderson,Nevada,36.0384,-115.0857,Z3,Walker
3180,3180,Traffic,1/1/2023 17:57,7 Heath Park,Las Vegas,Nevada,35.9279,-114.9721,Z4,Green
3181,3181,Property Crime,3/3/2020 16:13,72295 Independence Hill,Reno,Nevada,39.5224,-119.8353,Z7,Evans
3182,3182,Violent Crime,2/17/2022 15:39,38 Toban Pass,Reno,Nevada,39.5387,-119.8225,Z7,Gray
3183,3183,Traffic,4/19/2020 3:37,77 Corry Crossing,Reno,Nevada,39.5387,-119.8225,Z8,Wilson
3184,3184,Traffic,8/15/2020 18:47,9711 Butterfield Park,Las Vegas,Nevada,36.2471,-115.221,Z3,Rogers
3185,3185,Property Crime,8/21/2021 12:05,9595 Jenifer Lane,Las Vegas,Nevada,36.086,-115.1471,Z8,Stewart
3186,3186,Welfare Check,10/29/2023 22:36,58 Kenwood Street,Reno,Nevada,39.7699,-119.6027,Z8,Allen
3187,3187,Welfare Check,4/8/2022 0:40,71642 John Wall Trail,Las Vegas,Nevada,36.1378,-115.3261,Z6,Hernandez
3188,3188,Welfare Check,11/17/2022 14:26,5398 Sycamore Way,Reno,Nevada,39.7699,-119.6027,Z4,Peterson
3189,3189,Traffic,3/12/2020 3:40,73 Cardinal Way,Las Vegas,Nevada,36.0914,-115.0885,Z7,Mitchell
3190,3190,Alarm,9/25/2024 11:31,49509 Arrowood Hill,North Las Vegas,Nevada,35.9279,-114.9721,Z8,Wood
3191,3191,Welfare Check,11/1/2020 3:07,083 Cherokee Hill,Las Vegas,Nevada,36.0914,-115.0885,Z4,Lopez
3192,3192,Welfare Check,8/16/2021 18:52,57155 Jackson Way,Las Vegas,Nevada,36.2471,-115.221,Z6,Evans
3193,3193,Traffic,10/18/2024 11:57,6527 Artisan Parkway,Reno,Nevada,39.5387,-119.8225,Z3,Baker
3194,3194,Alarm,11/25/2023 7:44,4 Michigan Parkway,Las Vegas,Nevada,36.086,-115.1471,Z7,Clark
3195,3195,Traffic,11/2/2019 23:11,088 Welch Park,Las Vegas,Nevada,36.086,-115.1471,Z2,Smith
3196,3196,Traffic,3/2/2021 14:40,0172 Clove Park,Las Vegas,Nevada,35.9977,-115.2861,Z1,Jones
3197,3197,Property Crime,9/22/2019 12:15,215 Hooker Alley,Las Vegas,Nevada,35.9977,-115.2861,Z3,Hill
3198,3198,Violent Crime,10/4/2024 15:52,0877 Stephen Terrace,Las Vegas,Nevada,35.9279,-114.9721,Z4,Sanchez
3199,3199,Alarm,1/19/2023 20:28,48700 American Point,Las Vegas,Nevada,36.0914,-115.0885,Z6,White
3200,3200,Property Crime,5/14/2022 2:31,8 Toban Plaza,Las Vegas,Nevada,35.9279,-114.9721,Z2,Johnson
3201,3201,Violent Crime,7/9/2023 20:29,95955 Debra Avenue,Las Vegas,Nevada,36.1693,-115.2828,Z7,Bennett
3202,3202,Traffic,9/2/2021 18:55,13 Spenser Crossing,Las Vegas,Nevada,36.2471,-115.221,Z6,Morris
3203,3203,Alarm,10/9/2019 22:41,232 Bonner Terrace,North Las Vegas,Nevada,36.2204,-115.1458,Z2,Phillips
3204,3204,Violent Crime,6/15/2023 2:39,959 Walton Crossing,Las Vegas,Nevada,35.9279,-114.9721,Z8,Hall
3205,3205,Alarm,11/28/2022 8:05,5 Magdeline Terrace,Reno,Nevada,39.7699,-119.6027,Z5,Thompson
3206,3206,Welfare Check,1/1/2020 12:40,4 Mariners Cove Pass,Las Vegas,Nevada,35.9279,-114.9721,Z1,Bell
3207,3207,Violent Crime,1/9/2023 19:45,4 Stoughton Drive,Las Vegas,Nevada,36.173,-115.0669,Z3,Cooper
3208,3208,Traffic,10/18/2021 23:42,40794 Dakota Street,Las Vegas,Nevada,36.1378,-115.3261,Z2,Wright
3209,3209,Property Crime,10/30/2021 20:38,63284 Pennsylvania Park,Reno,Nevada,40.5412,-119.5869,Z3,Nelson
3210,3210,Alarm,6/21/2024 4:21,0 Monterey Center,Las Vegas,Nevada,36.1378,-115.3261,Z7,Price
3211,3211,Traffic,7/24/2021 21:06,1 Aberg Plaza,Henderson,Nevada,36.0119,-115.0433,Z3,Rogers
3212,3212,Alarm,8/11/2020 1:54,9 Maple Wood Junction,Las Vegas,Nevada,36.0914,-115.0885,Z3,Price
3213,3213,Traffic,2/12/2024 12:21,871 Green Drive,Las Vegas,Nevada,35.9977,-115.2861,Z5,Robinson
3214,3214,Traffic,11/2/2019 21:04,2374 Gulseth Street,Henderson,Nevada,36.0384,-115.0857,Z6,White
3215,3215,Alarm,1/9/2022 9:23,461 Mccormick Circle,Reno,Nevada,39.7699,-119.6027,Z1,White
3216,3216,Alarm,2/15/2022 19:52,77 Pond Circle,Reno,Nevada,40.5412,-119.5869,Z5,Wright
3217,3217,Alarm,3/23/2022 8:10,72 Erie Circle,Reno,Nevada,39.5387,-119.8225,Z3,Lopez
3218,3218,Violent Crime,11/25/2024 14:24,11 Waxwing Terrace,Carson City,Nevada,39.1678,-119.7764,Z7,Baker
3219,3219,Alarm,9/30/2022 11:40,12 Helena Road,Sparks,Nevada,39.6269,-119.7081,Z8,James
3220,3220,Traffic,11/5/2022 19:21,03208 Lien Pass,Carson City,Nevada,39.2025,-119.7526,Z1,Richardson
3221,3221,Traffic,8/27/2024 5:29,4 Mandrake Junction,Las Vegas,Nevada,36.2235,-115.2655,Z8,Jackson
3222,3222,Alarm,12/4/2020 5:19,543 6th Center,Carson City,Nevada,39.2025,-119.7526,Z8,Brown
3223,3223,Violent Crime,8/8/2023 2:28,9715 Barby Trail,Las Vegas,Nevada,35.9279,-114.9721,Z8,Johnson
3224,3224,Alarm,1/13/2021 4:25,25461 Manufacturers Park,Sparks,Nevada,39.6269,-119.7081,Z8,Morgan
3225,3225,Alarm,11/11/2020 5:09,522 Forster Road,Las Vegas,Nevada,36.086,-115.1471,Z6,Wilson
3226,3226,Traffic,7/22/2020 14:24,23852 Dayton Junction,Reno,Nevada,39.5387,-119.8225,Z3,Young
3227,3227,Property Crime,6/17/2023 7:18,5860 Porter Court,Las Vegas,Nevada,35.9977,-115.2861,Z8,Martinez
3228,3228,Property Crime,10/18/2021 12:08,54 Buell Hill,Las Vegas,Nevada,35.9279,-114.9721,Z6,Reed
3229,3229,Property Crime,7/17/2020 13:17,17 Forest Run Lane,Las Vegas,Nevada,36.0914,-115.0885,Z8,Nelson
3230,3230,Violent Crime,5/7/2022 5:56,3 Morningstar Parkway,Henderson,Nevada,36.0119,-115.0433,Z3,Thomas
3231,3231,Property Crime,10/7/2021 18:05,37 Kingsford Point,Las Vegas,Nevada,36.173,-115.0669,Z4,Lopez
3232,3232,Traffic,4/28/2022 12:54,933 Lighthouse Bay Drive,Reno,Nevada,39.5224,-119.8353,Z7,Parker
3233,3233,Traffic,6/2/2020 5:10,2 Merry Road,Las Vegas,Nevada,36.086,-115.1471,Z6,Lee
3234,3234,Traffic,4/5/2024 11:03,22 Golf Course Trail,Reno,Nevada,39.5387,-119.8225,Z2,Richardson
3235,3235,Alarm,9/11/2021 17:05,0 Kropf Center,Reno,Nevada,39.5387,-119.8225,Z2,Gray
3236,3236,Alarm,8/31/2021 7:13,435 Fulton Place,Henderson,Nevada,36.0384,-115.0857,Z4,Ramirez
3237,3237,Property Crime,4/22/2022 13:52,1 Cardinal Trail,North Las Vegas,Nevada,35.9279,-114.9721,Z2,Ward
3238,3238,Alarm,8/21/2023 0:42,1287 Sage Circle,North Las Vegas,Nevada,35.9279,-114.9721,Z5,Rogers
3239,3239,Traffic,6/14/2023 23:12,48 Kim Park,Reno,Nevada,40.5412,-119.5869,Z4,Parker
3240,3240,Traffic,10/31/2019 20:43,4 Corben Center,Las Vegas,Nevada,35.9977,-115.2861,Z1,Gray
3241,3241,Alarm,6/4/2023 6:00,90 Sutteridge Alley,Las Vegas,Nevada,36.173,-115.0669,Z2,Richardson
3242,3242,Welfare Check,6/9/2023 9:12,9821 Clemons Junction,Reno,Nevada,39.4814,-119.8591,Z1,Rogers
3243,3243,Traffic,1/9/2020 11:55,24 Nobel Place,Sparks,Nevada,39.6269,-119.7081,Z5,Thomas
3244,3244,Alarm,1/8/2023 10:53,6099 Sage Lane,Las Vegas,Nevada,36.1378,-115.3261,Z8,Peterson
3245,3245,Alarm,10/5/2023 0:06,99 Rutledge Drive,Reno,Nevada,39.4814,-119.8591,Z2,Ramirez
3246,3246,Traffic,9/12/2022 9:38,465 Trailsway Terrace,Reno,Nevada,40.5412,-119.5869,Z3,Robinson
3247,3247,Welfare Check,6/15/2022 11:30,2104 South Lane,Las Vegas,Nevada,35.9279,-114.9721,Z2,Morgan
3248,3248,Property Crime,12/15/2021 9:41,6811 Park Meadow Terrace,Reno,Nevada,39.7699,-119.6027,Z3,Collins
3249,3249,Traffic,9/14/2021 0:58,396 Springs Lane,Las Vegas,Nevada,36.1378,-115.3261,Z4,Jackson
3250,3250,Welfare Check,4/25/2020 8:17,31421 Talmadge Way,Las Vegas,Nevada,36.2235,-115.2655,Z5,Perez
3251,3251,Welfare Check,2/28/2022 10:57,450 Golf Course Park,Carson City,Nevada,39.1678,-119.7764,Z5,Adams
3252,3252,Traffic,2/10/2021 3:22,9 Lunder Way,Las Vegas,Nevada,36.086,-115.1471,Z5,Lopez
3253,3253,Traffic,12/13/2020 8:23,7209 Lakewood Drive,North Las Vegas,Nevada,35.9279,-114.9721,Z6,Thompson
3254,3254,Alarm,12/29/2019 6:06,5 Larry Alley,Henderson,Nevada,36.0384,-115.0857,Z8,Kelly
3255,3255,Traffic,12/5/2019 18:41,869 Cordelia Junction,Las Vegas,Nevada,36.3265,-115.3398,Z8,Walker
3256,3256,Alarm,1/6/2022 20:14,99781 Columbus Crossing,Las Vegas,Nevada,36.0914,-115.0885,Z2,Lopez
3257,3257,Alarm,1/25/2022 0:39,6 Kipling Parkway,Reno,Nevada,39.5224,-119.8353,Z1,Nelson
3258,3258,Property Crime,11/2/2023 18:50,3513 Mifflin Way,Reno,Nevada,40.5412,-119.5869,Z8,Bailey
3259,3259,Welfare Check,7/12/2021 11:43,0367 Warrior Lane,Las Vegas,Nevada,36.173,-115.0669,Z3,Wright
3260,3260,Property Crime,8/22/2023 2:01,0 Debs Avenue,Reno,Nevada,39.7699,-119.6027,Z6,Jackson
3261,3261,Property Crime,6/8/2021 14:01,7871 Summit Crossing,Sparks,Nevada,39.6269,-119.7081,Z5,Ward
3262,3262,Traffic,1/14/2022 16:31,659 Jackson Circle,Las Vegas,Nevada,36.173,-115.0669,Z8,Howard
3263,3263,Violent Crime,11/16/2023 11:44,0730 Dixon Point,Carson City,Nevada,39.2025,-119.7526,Z6,Hall
3264,3264,Violent Crime,5/19/2022 17:24,0568 Vermont Alley,Las Vegas,Nevada,35.9977,-115.2861,Z8,Garcia
3265,3265,Traffic,9/16/2024 22:46,6931 Vahlen Circle,Reno,Nevada,40.5412,-119.5869,Z3,Jackson
3266,3266,Welfare Check,2/1/2024 1:55,15 Algoma Point,Las Vegas,Nevada,35.9977,-115.2861,Z1,Lewis
3267,3267,Traffic,2/8/2020 5:18,8383 Carberry Hill,Las Vegas,Nevada,36.173,-115.0669,Z6,Davis
3268,3268,Traffic,5/11/2023 3:16,76 Warner Trail,North Las Vegas,Nevada,36.2204,-115.1458,Z5,Scott
3269,3269,Traffic,2/27/2023 21:21,5 Mcbride Parkway,Las Vegas,Nevada,35.9279,-114.9721,Z6,Brown
3270,3270,Violent Crime,3/3/2020 12:54,7 Memorial Place,Las Vegas,Nevada,35.9279,-114.9721,Z2,Hill
3271,3271,Welfare Check,10/7/2023 17:09,00 Superior Plaza,Las Vegas,Nevada,36.1378,-115.3261,Z1,Ward
3272,3272,Alarm,9/26/2020 17:41,45463 Hintze Road,Las Vegas,Nevada,36.086,-115.1471,Z2,Phillips
3273,3273,Property Crime,4/14/2024 19:40,95 Roth Hill,Las Vegas,Nevada,36.0914,-115.0885,Z8,Bell
